en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	en_term	en_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	ru_term	ru_note	
100 percent reserve banking		narrow banking																банковская система со 100-процентными наличными резервами		узкая банковская система															
1977 Decision on Surveillance over Exchange Rate Policies		1977 Surveillance Decision																Решение о надзоре 1977 года		Решение о надзоре за курсовой политикой 1977 года															
2030 Agenda for Sustainable Development																		Повестка дня в области устойчивого развития до 2030 года																	
a few																		несколько		немногие															
a number of	[IMF]																	ряд																	
AAA debtor																		должник первоклассной категории																	
AAA rating		triple-A rating																рейтинг ААА																	
Abenomics																		"абэномика"																	
abode																		основное место жительства																	
above face value	[securities]	above par		above par value		at a premium												выше номинала		с премией															
above par value																		выше паритета																	
above the line																		над чертой																	
above-the-line item	[budget]	above-the-line entry																статья "над чертой"		балансовая статья															
absentee rate																		показатель невыходов на работу																	
absolute advantage																		абсолютное преимущество																	
absolute return fund		hedge fund																хеджевый фонд																	
absorbed company	[enterprises]																	поглощаемая компания		приобретаемая компания															
absorbing company	[enterprises]	surviving company																поглощающая компания		компания, образующаяся в результате слияния		приобретающая компания													
absorptive capacity		absorption capacity																емкость																	
accelerated cost recovery system		ACRS																система ускоренного возмещения затрат																	
accelerated purchase																		ускоренная покупка																	
accelerated rate of depreciation		accelerated depreciation																ускоренная амортизация		ускоренная норма амортизации															
acceleration clause																		положение об ускорении выплат																	
acceptance credit																		акцептный кредит																	
acceptance limit	[SDR designation]																	лимит принятия (СДР)																	
acceptance of membership	[BL]																	принятие членства																	
access limit	[IMF]																	лимит доступа																	
access policy and access limits	[IMF]																	политика доступа и лимиты доступа																	
access policy	[IMF]																	политика доступа																	
access to a facility	[IMF]																	доступ к ресурсам в рамках механизма (финансирования)																	
accession country																		страна-кандидат на вступление (в ВТО, ЕС)		страна, готовящаяся к вступлению															
